E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,class1,class2,class3,class4
0.021333601,0.021331431,0.021337262,0.021344749,0.021340044,0.999994613,0.99999829,0.999988213,0.999997525,0.999994732,4.46E-07,1.89E-07,1.47E-06,2.57E-07,3.75E-07,2.56E-06,8.05E-07,8.73E-06,1.34E-06,2.47E-06,2.32E-06,6.86E-07,1.48E-06,8.17E-07,2.36E-06,0,3,5,11
0.021328569,0.021331972,0.021347459,0.021336758,0.021349226,0.999992439,0.999987312,0.999988154,0.99999571,0.999993176,8.94E-07,1.01E-06,1.69E-06,6.89E-07,8.05E-07,4.12E-06,2.45E-06,8.56E-06,2.40E-06,3.49E-06,2.44E-06,9.04E-06,1.46E-06,1.10E-06,2.42E-06,0,3,5,11
0.021342013,0.021345534,0.021338804,0.021348352,0.021349187,0.999994786,0.999997974,0.99996522,0.999997465,0.999995097,4.55E-07,2.13E-07,3.97E-06,3.52E-07,3.97E-07,2.38E-06,9.82E-07,2.95E-05,1.35E-06,2.38E-06,2.31E-06,7.96E-07,1.09E-06,7.84E-07,2.07E-06,0,3,5,11
0.021327587,0.021324356,0.021334163,0.021338578,0.021325345,0.999993925,0.99999712,0.999983006,0.999997501,0.99999389,6.78E-07,2.64E-07,2.22E-06,3.83E-07,5.92E-07,3.38E-06,1.42E-06,1.30E-05,9.83E-07,3.19E-06,1.96E-06,1.16E-06,1.61E-06,1.09E-06,2.27E-06,0,3,5,11
0.021374806,0.021368116,0.021362542,0.021369022,0.021386868,0.999992287,0.999997415,0.999980224,0.999997205,0.999993577,8.65E-07,2.80E-07,2.44E-06,3.19E-07,7.36E-07,3.77E-06,1.51E-06,1.59E-05,1.38E-06,3.18E-06,3.00E-06,7.61E-07,1.30E-06,1.04E-06,2.43E-06,0,3,5,11
0.021344828,0.021337607,0.021333867,0.021363736,0.021365866,0.999994517,0.999996366,0.999976591,0.99999773,0.999994902,6.78E-07,3.27E-07,2.68E-06,3.33E-07,6.18E-07,2.74E-06,1.95E-06,1.81E-05,1.09E-06,2.59E-06,1.99E-06,1.31E-06,2.48E-06,7.91E-07,1.80E-06,0,3,5,11
0.021334937,0.021347596,0.021341603,0.021351321,0.021332297,0.999991661,0.999996833,0.999985172,0.999997005,0.999992326,7.80E-07,2.91E-07,1.86E-06,3.12E-07,6.68E-07,3.98E-06,1.63E-06,1.14E-05,1.50E-06,4.25E-06,3.49E-06,1.20E-06,1.39E-06,1.14E-06,2.67E-06,0,3,5,11
0.021335139,0.021329249,0.02133731,0.021346173,0.021342922,0.999993129,0.999997703,0.999989459,0.999997683,0.99999351,5.88E-07,2.39E-07,1.16E-06,2.52E-07,5.13E-07,3.89E-06,1.38E-06,7.71E-06,1.11E-06,3.79E-06,2.31E-06,6.47E-07,1.56E-06,9.12E-07,2.12E-06,0,3,5,11
0.021337406,0.021337434,0.021339895,0.021344671,0.021339198,0.999993092,0.999997619,0.999958672,0.999996515,0.999993046,7.32E-07,2.30E-07,4.92E-06,4.15E-07,6.12E-07,4.07E-06,9.99E-07,3.34E-05,2.14E-06,3.72E-06,2.03E-06,1.12E-06,2.81E-06,8.53E-07,2.54E-06,0,3,5,11
0.021342938,0.021343956,0.021343956,0.021358257,0.021374512,0.999994827,0.999998259,0.999982959,0.999996802,0.999995264,5.60E-07,1.78E-07,1.81E-06,3.38E-07,5.20E-07,2.83E-06,8.63E-07,1.36E-05,1.83E-06,2.72E-06,1.70E-06,6.61E-07,1.48E-06,9.25E-07,1.40E-06,0,3,5,11
