solver,activation,H1,H2,PCA,class,Tr,Ts
sgd, tanh,40,25, off, class1,0.912300683,0.895454545
sgd, tanh,40,25, off, class2,0.912300683,0.793181818
sgd, tanh,40,25, off, class3,0.864464692,0.613636364
sgd, tanh,40,25, off, class4,0.862756264,0.593181818
sgd, relu,15,25, on, class1,0.911731207,0.897727273
sgd, relu,15,25, on, class2,0.859908884,0.784090909
sgd, relu,15,25, on, class3,0.753986333,0.634090909
sgd, relu,15,25, on, class4,0.697038724,0.527272727
sgd, relu,15,25, off, class1,0.910592255,0.902272727
sgd, relu,15,25, off, class2,0.845102506,0.740909091
sgd, relu,15,25, off, class3,0.735193622,0.636363636
sgd, relu,15,25, off, class4,0.725512528,0.511363636
sgd, relu,25,25, on, class1,0.910022779,0.904545455
sgd, relu,25,25, on, class2,0.919703872,0.779545455
sgd, relu,25,25, on, class3,0.837699317,0.693181818
sgd, relu,25,25, on, class4,0.787585421,0.55
sgd, relu,25,25, off, class1,0.916856492,0.922727273
sgd, relu,25,25, off, class2,0.911731207,0.788636364
sgd, relu,25,25, off, class3,0.838838269,0.654545455
sgd, relu,25,25, off, class4,0.778473804,0.536363636
sgd, relu,30,25, on, class1,0.935649203,0.934090909
sgd, relu,30,25, on, class2,0.933371298,0.797727273
sgd, relu,30,25, on, class3,0.835421412,0.645454545
sgd, relu,30,25, on, class4,0.798405467,0.529545455
sgd, relu,30,25, off, class1,0.941343964,0.927272727
sgd, relu,30,25, off, class2,0.899202733,0.779545455
sgd, relu,30,25, off, class3,0.839407745,0.654545455
sgd, relu,30,25, off, class4,0.829726651,0.506818182
sgd, relu,40,25, on, class1,0.932232346,0.931818182
sgd, relu,40,25, on, class2,0.942482916,0.756818182
sgd, relu,40,25, on, class3,0.857061503,0.640909091
sgd, relu,40,25, on, class4,0.866742597,0.536363636
sgd, relu,40,25, off, class1,0.920842825,0.913636364
sgd, relu,40,25, off, class2,0.937927107,0.752272727
sgd, relu,40,25, off, class3,0.881548975,0.65
sgd, relu,40,25, off, class4,0.858200456,0.543181818
adam, tanh,15,25, on, class1,0.990888383,0.918181818
adam, tanh,15,25, on, class2,0.958428246,0.765909091
