solver, activation, hidden1, hidden1, PCA, class, training_accuracy, testing_accuracy
lbfgs, logistic,25, 40, on, class4, 1.0, 0.42727272727272725
lbfgs, logistic,25, 40, off, class1, 1.0, 0.8795454545454545
lbfgs, logistic,25, 40, off, class2, 0.9994305239179955, 0.7318181818181818
lbfgs, logistic,25, 40, off, class3, 1.0, 0.5727272727272728
lbfgs, logistic,25, 40, off, class4, 1.0, 0.45681818181818185
lbfgs, logistic,30, 1, on, class1, 0.9447608200455581, 0.85
lbfgs, logistic,30, 1, on, class2, 0.9783599088838268, 0.740909090909091
lbfgs, logistic,30, 1, on, class3, 0.8439635535307517, 0.4863636363636364
lbfgs, logistic,30, 1, on, class4, 0.556378132118451, 0.2159090909090909
lbfgs, logistic,30, 1, off, class1, 0.9760820045558086, 0.8613636363636363
lbfgs, logistic,30, 1, off, class2, 0.969248291571754, 0.7636363636363637
lbfgs, logistic,30, 1, off, class3, 0.8462414578587699, 0.4772727272727273
lbfgs, logistic,30, 1, off, class4, 0.5825740318906606, 0.2318181818181818
lbfgs, logistic,30, 15, on, class1, 0.9988610478359908, 0.8340909090909091
lbfgs, logistic,30, 15, on, class2, 1.0, 0.7954545454545454
lbfgs, logistic,30, 15, on, class3, 0.9874715261958997, 0.5727272727272728
lbfgs, logistic,30, 15, on, class4, 0.9658314350797267, 0.41818181818181815
lbfgs, logistic,30, 15, off, class1, 0.9994305239179955, 0.8818181818181818
lbfgs, logistic,30, 15, off, class2, 1.0, 0.7659090909090909
lbfgs, logistic,30, 15, off, class3, 0.9960136674259681, 0.5272727272727272
lbfgs, logistic,30, 15, off, class4, 0.9470387243735763, 0.44545454545454544
lbfgs, logistic,30, 25, on, class1, 1.0, 0.8795454545454545
lbfgs, logistic,30, 25, on, class2, 1.0, 0.7954545454545454
lbfgs, logistic,30, 25, on, class3, 1.0, 0.5227272727272727
lbfgs, logistic,30, 25, on, class4, 1.0, 0.3977272727272727
lbfgs, logistic,30, 25, off, class1, 1.0, 0.8931818181818182
lbfgs, logistic,30, 25, off, class2, 1.0, 0.7772727272727272
lbfgs, logistic,30, 25, off, class3, 1.0, 0.5363636363636364
lbfgs, logistic,30, 25, off, class4, 1.0, 0.4636363636363636
lbfgs, logistic,30, 30, on, class1, 1.0, 0.884090909090909
lbfgs, logistic,30, 30, on, class2, 1.0, 0.7772727272727272
lbfgs, logistic,30, 30, on, class3, 1.0, 0.5727272727272728
lbfgs, logistic,30, 30, on, class4, 1.0, 0.38181818181818183
lbfgs, logistic,30, 30, off, class1, 1.0, 0.8613636363636363
lbfgs, logistic,30, 30, off, class2, 1.0, 0.7431818181818182
lbfgs, logistic,30, 30, off, class3, 1.0, 0.525
lbfgs, logistic,30, 30, off, class4, 1.0, 0.3931818181818182
lbfgs, logistic,30, 40, on, class1, 1.0, 0.8863636363636364
lbfgs, logistic,30, 40, on, class2, 1.0, 0.7795454545454545
lbfgs, logistic,30, 40, on, class3, 1.0, 0.5863636363636363
lbfgs, logistic,30, 40, on, class4, 1.0, 0.45681818181818185
lbfgs, logistic,30, 40, off, class1, 1.0, 0.9136363636363637
lbfgs, logistic,30, 40, off, class2, 1.0, 0.7818181818181819
lbfgs, logistic,30, 40, off, class3, 1.0, 0.5477272727272727
lbfgs, logistic,30, 40, off, class4, 1.0, 0.4659090909090909
lbfgs, logistic,40, 1, on, class1, 0.9703872437357631, 0.875
lbfgs, logistic,40, 1, on, class2, 0.9960136674259681, 0.7909090909090909
lbfgs, logistic,40, 1, on, class3, 0.9123006833712984, 0.45
lbfgs, logistic,40, 1, on, class4, 0.6566059225512528, 0.25
lbfgs, logistic,40, 1, off, class1, 0.9914578587699316, 0.9022727272727272
lbfgs, logistic,40, 1, off, class2, 0.9863325740318907, 0.7886363636363637
lbfgs, logistic,40, 1, off, class3, 0.8570615034168565, 0.4636363636363636
lbfgs, logistic,40, 1, off, class4, 0.626993166287016, 0.27045454545454545
lbfgs, logistic,40, 15, on, class1, 0.9937357630979499, 0.884090909090909
lbfgs, logistic,40, 15, on, class2, 0.9994305239179955, 0.7886363636363637
lbfgs, logistic,40, 15, on, class3, 1.0, 0.5386363636363637
lbfgs, logistic,40, 15, on, class4, 0.9982915717539863, 0.425
lbfgs, logistic,40, 15, off, class1, 1.0, 0.8954545454545455
lbfgs, logistic,40, 15, off, class2, 0.9982915717539863, 0.7840909090909091
lbfgs, logistic,40, 15, off, class3, 1.0, 0.5340909090909091
lbfgs, logistic,40, 15, off, class4, 0.9982915717539863, 0.39545454545454545
lbfgs, logistic,40, 25, on, class1, 1.0, 0.8568181818181818
lbfgs, logistic,40, 25, on, class2, 1.0, 0.8
lbfgs, logistic,40, 25, on, class3, 1.0, 0.5568181818181818
lbfgs, logistic,40, 25, on, class4, 1.0, 0.425
lbfgs, logistic,40, 25, off, class1, 1.0, 0.8977272727272727
lbfgs, logistic,40, 25, off, class2, 1.0, 0.7863636363636364
lbfgs, logistic,40, 25, off, class3, 1.0, 0.5522727272727272
lbfgs, logistic,40, 25, off, class4, 1.0, 0.4159090909090909
lbfgs, logistic,40, 30, on, class1, 1.0, 0.9
lbfgs, logistic,40, 30, on, class2, 1.0, 0.7977272727272727
lbfgs, logistic,40, 30, on, class3, 1.0, 0.5818181818181818
lbfgs, logistic,40, 30, on, class4, 1.0, 0.42272727272727273
lbfgs, logistic,40, 30, off, class1, 1.0, 0.8954545454545455
lbfgs, logistic,40, 30, off, class2, 1.0, 0.7909090909090909
lbfgs, logistic,40, 30, off, class3, 1.0, 0.5727272727272728
lbfgs, logistic,40, 30, off, class4, 1.0, 0.475
lbfgs, logistic,40, 40, on, class1, 1.0, 0.8863636363636364
lbfgs, logistic,40, 40, on, class2, 1.0, 0.8113636363636364
lbfgs, logistic,40, 40, on, class3, 1.0, 0.6363636363636364
lbfgs, logistic,40, 40, on, class4, 1.0, 0.4727272727272727
lbfgs, logistic,40, 40, off, class1, 1.0, 0.8931818181818182
lbfgs, logistic,40, 40, off, class2, 1.0, 0.7568181818181818
lbfgs, logistic,40, 40, off, class3, 1.0, 0.5931818181818181
lbfgs, logistic,40, 40, off, class4, 1.0, 0.4409090909090909
lbfgs, tanh,15, 1, on, class1, 0.9891799544419134, 0.8954545454545455
lbfgs, tanh,15, 1, on, class2, 0.974373576309795, 0.7772727272727272
lbfgs, tanh,15, 1, on, class3, 0.6463553530751709, 0.4863636363636364
lbfgs, tanh,15, 1, on, class4, 0.4185649202733485, 0.27045454545454545
lbfgs, tanh,15, 1, off, class1, 0.9880410022779044, 0.8931818181818182
lbfgs, tanh,15, 1, off, class2, 0.933371298405467, 0.7704545454545455
lbfgs, tanh,15, 1, off, class3, 0.628132118451025, 0.4409090909090909
lbfgs, tanh,15, 1, off, class4, 0.4048974943052392, 0.25227272727272726
lbfgs, tanh,15, 15, on, class1, 1.0, 0.8931818181818182
lbfgs, tanh,15, 15, on, class2, 0.9988610478359908, 0.775
lbfgs, tanh,15, 15, on, class3, 0.8775626423690205, 0.5136363636363637
lbfgs, tanh,15, 15, on, class4, 0.7750569476082004, 0.4340909090909091
lbfgs, tanh,15, 15, off, class1, 1.0, 0.8954545454545455
lbfgs, tanh,15, 15, off, class2, 1.0, 0.7636363636363637
lbfgs, tanh,15, 15, off, class3, 0.8889521640091116, 0.5522727272727272
lbfgs, tanh,15, 15, off, class4, 0.8041002277904328, 0.45227272727272727
lbfgs, tanh,15, 25, on, class1, 1.0, 0.884090909090909
lbfgs, tanh,15, 25, on, class2, 1.0, 0.8022727272727272
lbfgs, tanh,15, 25, on, class3, 0.9840546697038725, 0.5204545454545455
lbfgs, tanh,15, 25, on, class4, 0.8889521640091116, 0.42272727272727273
lbfgs, tanh,15, 25, off, class1, 1.0, 0.8954545454545455
lbfgs, tanh,15, 25, off, class2, 1.0, 0.8
lbfgs, tanh,15, 25, off, class3, 0.9806378132118451, 0.5363636363636364
lbfgs, tanh,15, 25, off, class4, 0.933371298405467, 0.3931818181818182
lbfgs, tanh,15, 30, on, class1, 1.0, 0.8931818181818182
lbfgs, tanh,15, 30, on, class2, 1.0, 0.7659090909090909
lbfgs, tanh,15, 30, on, class3, 0.994874715261959, 0.5068181818181818
lbfgs, tanh,15, 30, on, class4, 0.9806378132118451, 0.3977272727272727
lbfgs, tanh,15, 30, off, class1, 1.0, 0.9022727272727272
lbfgs, tanh,15, 30, off, class2, 1.0, 0.7659090909090909
lbfgs, tanh,15, 30, off, class3, 1.0, 0.525
lbfgs, tanh,15, 30, off, class4, 0.9817767653758542, 0.42045454545454547
lbfgs, tanh,15, 40, on, class1, 1.0, 0.8818181818181818
lbfgs, tanh,15, 40, on, class2, 1.0, 0.7454545454545455
lbfgs, tanh,15, 40, on, class3, 1.0, 0.509090909090909
lbfgs, tanh,15, 40, on, class4, 1.0, 0.4159090909090909
lbfgs, tanh,15, 40, off, class1, 1.0, 0.8931818181818182
lbfgs, tanh,15, 40, off, class2, 1.0, 0.7931818181818182
lbfgs, tanh,15, 40, off, class3, 1.0, 0.5204545454545455
lbfgs, tanh,15, 40, off, class4, 1.0, 0.42045454545454547
lbfgs, tanh,25, 1, on, class1, 0.9903189066059226, 0.9204545454545454
lbfgs, tanh,25, 1, on, class2, 0.9777904328018223, 0.7840909090909091
lbfgs, tanh,25, 1, on, class3, 0.75, 0.42727272727272725
lbfgs, tanh,25, 1, on, class4, 0.4635535307517084, 0.21818181818181817
lbfgs, tanh,25, 1, off, class1, 0.9931662870159453, 0.9136363636363637
lbfgs, tanh,25, 1, off, class2, 0.9965831435079726, 0.7977272727272727
lbfgs, tanh,25, 1, off, class3, 0.7357630979498861, 0.4681818181818182
lbfgs, tanh,25, 1, off, class4, 0.5039863325740319, 0.20909090909090908
lbfgs, tanh,25, 15, on, class1, 1.0, 0.8977272727272727
